toponimo_i,link,varon,mujer,totalpobl,hogares,viviendasp,viv_part_h,personasxvivienda,Area_RC,Pje_Total_BP_en_RC,Porcentaje_de_hogares_con_conexion_a_red,%conaccesoredgas,%dehogarescnib,%conaccesoredeagua,connivelsec,cestudiosuper,cal1,malacmateriales,superficie,densidad_p,palto,pmedioalto,pbajo,pmuybajo
298662,060352601,658,729,1387,410,418,374,3.70855614973262,419190.81901747,4.16,80.6,68.29,6.34,98.78,55.81,62.6347305389222,84.76,15.24,424301.51,32.69,28.77,6.3,43.84,21.1
298678,060352704,1173,1161,2334,611,532,526,4.43726235741445,86829.9449717402,60.47,72.22,21.93,13.42,99.84,51.28,53.1135531135531,62.93,37.07,87887.02,265.53,8.35,1.36,43.11,47.18
298689,060352801,500,572,1072,354,382,337,3.18100890207715,106692.012149073,0,12.99,86.72,1.69,99.72,50.07,61.4305750350631,95.55,4.45,107986.4,99.26,44.28,8.5,42.23,4.99
298700,060352906,394,441,835,296,337,293,2.84982935153584,73319.3200705051,0,27.76,91.89,11.82,99.66,54.28,63.8698630136986,94.88,5.12,74207.14,112.53,44.17,13.33,38.75,3.75
298701,060352907,328,426,754,263,301,259,2.91119691119691,73063.5186281204,0,26.24,91.25,3.04,100,54.6,66.0919540229885,94.59,5.41,73948.02,102.03,47.24,7.54,38.69,6.53
298711,060353007,505,507,1012,341,351,305,3.31803278688525,96953.0554298759,0,80.59,83.58,2.05,99.41,50.78,61.9115549215407,95.08,4.92,98128.77,103.16,42.63,9.29,44.23,3.85
298713,060353009,410,451,861,284,298,275,3.13090909090909,78155.8678874373,0,45.77,85.92,2.11,99.65,57.35,65.0537634408602,93.09,6.91,79103.22,108.85,39.27,8.68,42.47,9.59
298727,060353204,392,448,840,301,337,291,2.88659793814433,98506.5600201488,0,95.02,90.03,2.33,100,51.78,67.741935483871,96.56,3.44,99694.74,84.25,51.13,6.39,35.34,7.14
298749,060353501,497,560,1057,332,332,306,3.45424836601307,725056.248936329,1.29,76.51,81.93,2.41,99.4,55.83,65.3237410071942,91.5,8.5,733788.82,14.4,30.79,6.95,50,12.25
298750,060353502,428,444,872,288,305,273,3.19413919413919,119727.67404753,0,95.14,88.19,3.47,99.65,56.54,68.2512733446519,94.87,5.13,121171.36,71.95,50,7.98,34.45,7.56
298753,060353505,745,806,1551,463,454,420,3.69285714285714,129050.158034801,29.11,57.48,69.33,4.97,99.78,55.71,62.6768226332971,89.29,10.71,130601.08,118.76,25.48,5.77,48.56,20.19
